FeatureIndex	FileName	MSLevel	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	FeatureQuantity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	Qscore2D	PerChargeIntensity	PerIsotopeIntensity
287	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8353.028103	8358.198188	2	65.302	65.4076	6.33675	65.302	39900	33385.3	126418	5	8	3	0.961884	0.987297793715192	6767.86;26617.4;0;6514.75	0;1128.05;1350.59;3649.14;6735.67;7726.31;5124.92;5900.42;4858.4;1380.47;2046.07
288	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8352.039208	8357.209293	2	65.1795	65.2029	1.40294	65.1795	43498	26724.9	30512.6	6	7	2	0.937235	0.998159277430953	26724.9;16773.1	0;0;1569.51;2644.52;6344.58;6658.01;6963.53;6697.51;5142.68;3388.88;2131.53;758.59;710.172;488.491
289	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8541.095736	8546.405942	2	65.1795	65.2029	1.40294	65.1795	40214.7	23752.7	28209.5	6	8	3	0.908779	0.994002971808254	6228.45;25714;8272.2	0;0;0;3286.29;4242.75;6187.54;8556.69;7436.31;5129.51;2934.06;1878.09;563.446
290	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8542.095798	8547.406004	2	65.1795	65.302	7.35074	65.1795	34391.1	22146.3	126400	6	7	2	0.947172	0.915470322766188	19163.4;15227.7	0;0;1398.85;1602.54;5441.89;7607.4;6217.95;4260.22;3799.53;1747.54;1156.77;468.269;0;0;690.137
291	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8634.161771	8639.519192	2	65.1795	65.302	7.35074	65.1795	34341.7	18934.5	126218	6	7	2	0.899134	0.728362011292483	4808.72;29533	474.239;898.229;351.556;1263.2;4045.26;6789.52;5836.02;3576.22;1562.93;4076.86;1849.74;1436.03;1106.14;776.551;773.42
292	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8686.165791	8691.548957	2	65.1795	65.302	7.35074	65.302	32347.7	18596.7	118890	6	7	2	0.89428	0.768705977252469	11554.3;20793.4	1465.01;569.901;1899.18;847.587;4802.72;6800.2;4983.35;5097.19;6506.29;326.927;0;0;0;514.417
293	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8142.905768	8147.962344	2	65.1795	65.4076	13.6875	65.1795	28741.4	17642.4	196698	6	8	2	0.955279	0.92115202050366	17642.4;0;11099	0;0;0;4906.31;4933.74;5475.74;4852.64;3535.17;2569.52;1932.73;0;535.51
294	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	3629.980695	3632.190421	6	69.2569	70.9939	104.221	70.8655	622205	523132	1.11132e+07	2	5	4	0.866548	0.99999994782201	8302.8;12262.2;419499;182141	0;71948.8;141430;152386;123555;75644.4;37633.7;13747.7;4900.15;959.451
295	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	3887.118056	3889.467765	5	69.2569	70.8655	96.5152	70.8655	357741	262030	6.05986e+06	4	6	4	0.877033	0.999972872627021	230816;176589;5990.43	0;34678.5;78352.7;90805.7;74167.7;45045.8;20580.9;10353;2532.46;1224.6
296	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	3986.186874	3988.620477	4	70.3258	70.8655	32.3783	70.8655	232502	166831	2.58968e+06	4	6	3	0.892533	0.999979704790594	117408;99306.5;15787.9	0;22065.9;52240;56714.5;46385.6;30430;12692.2;7302.76;3790.07;881.085
297	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	5623.832236	5627.326203	2	69.2569	70.8655	96.5152	70.8655	106747	100628	5.15133e+06	5	7	3	0.865821	0.958757511563042	5733.81;68622.2;32390.5	0;1875.32;8878.78;15935.4;22733.4;20927.9;14550.2;8862.47;8158.4;3029.37;1239.84;555.431
298	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	9626.013355	9632.045784	2	70.3258	70.3509	1.50307	70.3258	148132	87469.2	111326	9	10	2	0.962434	0.99677266193938	42584.6;105547	0;960.415;4590.24;5449.17;16309.8;20024.2;22669.7;21768.2;22290.5;15152.6;5964.83;4748.42;3116.35;2282.91;1991.71;812.348
299	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	3645.973967	3648.199674	5	69.1927	70.8655	100.366	70.8655	125289	81259.2	2.17847e+06	2	5	4	0.886479	0.999611916297727	7454.22;3415.01;72756.4;49094.9	0;14422.1;35606;30624.6;24895.1;12895.5;5267.48;1226.9;351.14
300	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	7903.861896	7908.778737	2	70.3258	70.3509	1.50307	70.3509	90928	72887	68335.6	7	7	1	0.958873	0.998536954193427	90928	0;672.85;4188.78;9773.94;15374.8;14323;14315.4;13905.9;8939.36;5628.66;2786.27;1019.1
301	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	3729.047989	3731.321769	4	70.3258	70.8655	32.3783	70.8655	88251	46177.5	838230	4	6	3	0.890045	0.999885062037598	76531;53707.3;1091.12	0;11646;19060.5;22267.2;17920.5;9963.92;4252.43;1756.76;984.915;398.854
302	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	7611.755279	7616.503281	3	70.3258	70.3902	3.85882	70.3509	92603.3	44666.2	130081	6	8	3	0.95184	0.999933232294364	4019.6;73669.6;14914.1	0;1556.11;5569.42;8218.34;15552.8;17047.4;15061.5;12367.9;8493.39;4291.98;3757.54;686.995
303	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	7595.762598	7600.510600	2	69.2569	70.8655	96.5152	70.8655	37357.5	29731.6	1.80278e+06	7	7	1	0.952091	0.972940132354785	37357.5	0;0;2051.8;4117.52;6450.04;6878.6;5787.56;5727.81;2945.01;1443.42;684.854;1270.86
304	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	4813.501044	4816.524080	3	69.2569	70.8655	96.5152	69.2569	59662.9	29219.5	2.04082e+06	5	6	2	0.889329	0.873949515156216	33745.7;25917.3	0;0;13156.8;18047;16122;7338.24;2154.61;1768.92;752.917;322.341
