Index	FileName	ScanNum	FeatureIndex	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	
76	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	18	65.086594	43	9329.122668	9323.284069	3.76353e+06	6	7	21	0.979034	0.977459	1	154.5	73.6085	0.730384	6	1555.054688	1556.725342	0.959709	0.999991
77	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	24	65.086594	43	9346.107615	9340.257407	2.95807e+06	6	8	31	0.908691	0.893868	1	39.2639	33.4038	0.831458	7	1335.329834	1337.187378	0.794721	0.960936
78	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	54	65.086594	43	9348.115561	9342.265353	1.23131e+06	6	6	12	0.904675	0.904675	1	40.135	40.135	0.965784	6	1558.052734	1559.888550	0.778822	0.778822
79	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	34	65.086594	43	9405.173475	9399.270459	1.95738e+06	6	7	19	0.977475	0.981293	1	280.125	164.814	1.23541	7	1343.904907	1345.331543	0.958862	0.999997
80	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	43	9426.170697	9420.255791	438445	6	6	6	0.905248	0.905248	1	33.1831	33.1831	1.00946	6	1571.550537	1572.385010	0.773482	0.773482
81	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3106	nan	65.153220	37	928.641060	928.110510	79084.1	1	1	2	0.988486	0.988486	1	0.259518	0.259518	1.18163	1	929.117004	930.121521	0.911163	0.911163
82	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3106	nan	65.153220	37	1035.853957	1035.261618	79954.9	1	1	2	0.982444	0.982444	1	0.359203	0.359203	1.64826	1	1036.267456	1037.273315	0.893736	0.893736
83	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3106	nan	65.153220	37	1063.001388	1062.397939	108756	1	1	2	0.962493	0.962493	1	0.332117	0.332117	2.00788	1	1063.403198	1064.409790	0.837512	0.837512
84	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3106	nan	65.153220	37	1076.755414	1076.140785	114559	1	1	2	0.985973	0.985973	1	0.266285	0.266285	0.509657	1	1077.148438	1078.149780	0.916771	0.916771
85	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3106	nan	65.153220	37	1206.336150	1205.635530	108236	1	1	2	0.970634	0.970634	1	0.399396	0.399396	0.505616	1	1206.642212	1207.645874	0.890509	0.890509
86	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3106	nan	65.153220	37	1268.791200	1268.041710	100936	1	1	2	0.973894	0.973894	1	0.301113	0.301113	0.288419	1	1269.049316	1270.050903	0.899413	0.899413
87	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3106	nan	65.153220	37	1548.538127	1547.536616	70493.5	2	2	2	0.938484	0.938484	1	0.0193618	0.603917	0.157479	2	774.775513	775.276917	0.800446	0.800446
88	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3106	nan	65.153220	37	1844.809278	1843.639617	44795.2	3	3	2	0.907666	0.907666	1	0.101114	0.90608	0.892152	3	615.554382	615.887390	0.648614	0.648614
89	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3106	nan	65.153220	37	1995.414694	1994.159716	81267.1	3	3	2	0.871769	0.871769	1	0.0994692	0.76014	0.595818	3	665.726685	666.061584	0.479368	0.479368
90	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3106	nan	65.153220	37	2007.649475	2006.394497	90068.5	3	3	2	0.878009	0.878009	1	0.580257	0.580257	0.409943	3	669.805664	670.139221	0.546569	0.546569
91	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3106	nan	65.153220	37	2747.718211	2746.021443	168928	3	3	4	0.955352	0.955352	1	0.868526	0.868526	2.64586	3	916.346008	917.346924	0.807855	0.807855
92	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3106	nan	65.153220	37	3601.521192	3599.323142	113002	4	4	3	0.9135	0.9135	1	0.292077	0.292077	1.33169	4	901.089966	901.587891	0.674128	0.674128
93	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3106	nan	65.153220	37	3607.904733	3605.706683	188930	3	4	4	0.904254	0.669905	1	0.473088	0.890524	1.00524	4	902.933777	903.438110	0.561017	0.561017
94	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3106	nan	65.153220	37	4517.971995	4515.148298	205315	4	4	5	0.856978	0.856978	1	0.801943	0.801943	1.40361	4	1130.046631	1131.549927	0.398098	0.398098
95	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3106	nan	65.153220	37	4719.732468	4716.770490	152272	4	4	3	0.860061	0.860061	1	1.1609	1.1609	1.27516	4	1180.452881	1180.950195	0.427807	0.427807
96	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3106	nan	65.153220	37	5328.679970	5325.374816	131818	5	6	4	0.873379	0.50658	1	0.908098	1.77667	1.07558	5	1066.481934	1067.084351	0.359476	0.359476
97	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3106	31	65.153220	37	8952.820665	8947.282568	3.37317e+06	7	9	30	0.97914	0.973987	1	41.8028	101.591	1.04899	8	1119.421509	1120.919922	0.939581	0.995353
98	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3106	nan	65.153220	37	9052.892577	9047.300917	728797	7	8	11	0.900283	0.681095	1	8.5467	4.64048	1.94609	7	1294.048218	1294.479614	0.604023	0.604023
99	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3106	nan	65.153220	37	9064.921469	9059.329809	1.40648e+06	7	9	24	0.885623	0.842529	1	10.2744	8.13536	1.74265	8	1133.421509	1134.923218	0.604248	0.604248
100	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3106	nan	65.153220	37	9065.932844	9060.341184	845540	7	8	14	0.882114	0.785667	1	5.53249	5.42205	1.21729	8	1133.676880	1135.056641	0.561717	0.561717
101	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3106	15	65.153220	37	9095.970276	9090.343672	3.20434e+06	7	10	34	0.975562	0.937036	1	46.5563	46.7389	1.32368	8	1137.303589	1138.805908	0.934269	0.999888
